material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-1226455,Cs2GeB4O9,4.274900000000001,"['B', 'Cs', 'Ge', 'O']",4,16,243.1004145740271,3.590812301618889,-2.656378363498564,0.0,True
mp-573150,Cs2GeO3,3.0623,"['Cs', 'Ge', 'O']",3,72,1647.5341920350872,4.673994662651739,-2.055193100718393,0.0,True
mp-560216,Cs2GeP4O13,4.1237,"['Cs', 'Ge', 'O', 'P']",4,40,644.4105540741001,3.454700372034964,-2.59037369514409,0.0,True
mp-758948,Cs2H6CO6,4.0513,"['C', 'Cs', 'H', 'O']",4,30,406.1158039782832,3.1064131771837125,-1.6034788661206898,0.0,True
mp-1539190,Cs2Hf(WO4)3,3.0183,"['Cs', 'Hf', 'O', 'W']",4,18,295.32134439615487,6.678863885681774,-2.597877944961685,0.0,True
mp-1178405,Cs2HfO3,3.8193719272983007,"['Cs', 'Hf', 'O']",3,12,257.3832562211695,6.352253891385535,-2.8232959390517247,0.0,True
mp-1200330,Cs2K2B10O17,4.6484,"['B', 'Cs', 'K', 'O']",4,62,859.970269227555,2.7963954361590995,-2.795923468563774,0.0,True
mp-40143,Cs2KZrOF5,4.8619,"['Cs', 'F', 'K', 'O', 'Zr']",5,10,212.4960391371665,3.9628985434666095,-3.3781279256560346,0.0,True
mp-1019606,Cs2Li2B2P4O15,5.4224000000000006,"['B', 'Cs', 'Li', 'O', 'P']",5,50,733.9421465348655,3.010025175313179,-2.756388813915271,0.0,True
mp-8313,Cs2Li2GeO4,3.4744,"['Cs', 'Ge', 'Li', 'O']",4,18,316.733107800366,4.365398186152281,-2.10234352733078,0.0,True
mp-504849,Cs2Li2SiO4,3.8531,"['Cs', 'Li', 'O', 'Si']",4,18,285.89628380249286,4.31868907833259,-2.4688951517752225,0.0,True
mp-8294,Cs2Li2TiO4,3.9554,"['Cs', 'Li', 'O', 'Ti']",4,18,307.12095290714615,4.234139850336224,-2.526923392701148,0.0,True
mp-1196318,Cs2Li3B3P6(PbO12)2,5.2105,"['B', 'Cs', 'Li', 'O', 'P', 'Pb']",6,160,2174.188294885236,3.981573071271065,-2.6832457771166864,0.0,True
mp-555140,Cs2Li3GaO4,3.6593,"['Cs', 'Ga', 'Li', 'O']",4,20,309.85839263570807,4.5053811221245015,-2.0031439276810348,0.0,True
mp-14364,Cs2LiAsO4,3.7302,"['As', 'Cs', 'Li', 'O']",4,16,317.5920837988947,4.304867698391288,-2.09699716876796,0.0,True
mp-1194993,Cs2LiNd(BO3)2,4.4831,"['B', 'Cs', 'Li', 'Nd', 'O']",5,48,780.721423232138,4.548329741023479,-2.830112944039751,0.0,True
mp-541190,Cs2LiVO4,3.9955,"['Cs', 'Li', 'O', 'V']",4,16,320.2514864725582,4.020440720320441,-2.36551298970546,0.0,True
mp-1213820,Cs2Mg2(MoO4)3,4.2644,"['Cs', 'Mg', 'Mo', 'O']",4,76,1356.8451219950468,3.8880077722466817,-2.35330618035844,0.0,True
mp-1215128,Cs2MgCr2(H6O7)2,3.2252,"['Cr', 'Cs', 'H', 'Mg', 'O']",5,62,790.3553143303761,2.6480833940464263,-1.640795080622915,0.0,True
mp-542417,Cs2MgH12(SO7)2,5.0352,"['Cs', 'H', 'Mg', 'O', 'S']",5,62,749.5435613471918,2.6156469129087427,-1.730740225461623,0.0,True
mp-779875,Cs2MgH12(SeO7)2,3.883543403735382,"['Cs', 'H', 'Mg', 'O', 'Se']",5,62,758.8741826403768,2.993941911386793,-1.5279440941612197,0.0,True
mp-733936,Cs2MgH8(CO5)2,4.6538,"['C', 'Cs', 'H', 'Mg', 'O']",5,92,1119.2320687688623,2.8616168749762734,-1.7534730226874071,0.0,True
mp-866620,Cs2MgP4(HO2)8,5.3771,"['Cs', 'H', 'Mg', 'O', 'P']",5,31,397.068641571193,2.835663895367701,-2.216463746867153,0.0,True
mp-1019610,Cs2MgSi5O12,4.5828,"['Cs', 'Mg', 'O', 'Si']",4,160,2691.6778587790955,3.0724202299481247,-3.137505602403017,0.0,True
mp-572790,Cs2Mn(PO3)4,4.388,"['Cs', 'Mn', 'O', 'P']",4,76,1253.7064461151988,3.372911663888323,-2.649188342805937,0.0,True
mp-1213801,Cs2Mn2(MoO4)3,3.3036,"['Cs', 'Mn', 'Mo', 'O']",4,76,1432.5410608313457,3.96663207750148,-2.139646223693286,0.0,True
mp-1197828,Cs2MnH12(SO7)2,3.5563,"['Cs', 'H', 'Mn', 'O', 'S']",5,62,729.4039576415561,2.82734418530098,-1.655221392653029,0.0,True
mp-15126,Cs2MnSi5O12,3.2917999999999994,"['Cs', 'Mn', 'O', 'Si']",4,160,2730.22045116263,3.1780966428191797,-3.0232127770495696,0.0,True
mp-1193056,Cs2Mo3O10,3.4166,"['Cs', 'Mo', 'O']",3,30,581.0884272245336,4.07856008757266,-2.1177359422873576,0.0,True
mp-1194312,Cs2MoO4,4.611807438692994,"['Cs', 'Mo', 'O']",3,28,647.8232296379118,4.365215643713691,-2.203920136687191,0.0,True
mp-559557,Cs2Na2B10O17,4.7125,"['B', 'Cs', 'Na', 'O']",4,62,794.4622598567042,2.892297940119986,-2.7851141897979232,0.0,True
mp-1019611,Cs2Na2Sr(B3O5)6,5.6254,"['B', 'Cs', 'Na', 'O', 'Sr']",5,106,1298.105221450825,2.747701896140955,-2.872368412680547,0.0,True
mp-581862,Cs2NaAl(PO4)2,4.457400000000001,"['Al', 'Cs', 'Na', 'O', 'P']",5,112,2015.1183834679948,3.333902447471893,-2.829497928480384,0.0,True
mp-8314,Cs2NaAsO4,3.5371,"['As', 'Cs', 'Na', 'O']",4,16,326.2682733501792,4.353751914091548,-2.026449079148707,0.0,True
mp-19447,Cs2NaVO4,3.9543,"['Cs', 'Na', 'O', 'V']",4,16,327.6601298395087,4.092201679860265,-2.289819043836208,0.0,True
mp-581217,Cs2Nb4O11,3.0182,"['Cs', 'Nb', 'O']",3,136,2399.8575209314754,4.502707316458825,-2.9558356133417854,0.0,True
mp-1200093,Cs2PH3SeO8,4.1818,"['Cs', 'H', 'O', 'P', 'Se']",5,60,1039.0403672549712,3.2395311115927123,-1.877544674836463,0.0,True
mp-1203821,Cs2PH5O6,4.6690000000000005,"['Cs', 'H', 'O', 'P']",4,56,803.3081742380447,3.2893823079301483,-1.9046513530502287,0.0,True
