material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-554873,Ag2B8O13,3.2651,"['Ag', 'B', 'O']",3,92,996.2222434020954,3.401789524466849,-2.5106557157246367,0.0,True
mp-24058,AgBH2OF4,3.044,"['Ag', 'B', 'F', 'H', 'O']",5,72,777.8111799718515,3.632520556994449,-2.162864122314816,0.0,True
mp-24072,AgH5S2O9,3.5225000000000004,"['Ag', 'H', 'O', 'S']",4,68,778.0261691977662,2.740715054316146,-1.4486150450245106,0.0,True
mp-555903,Al(IO3)3,3.3466,"['Al', 'I', 'O']",3,26,363.7522624294848,5.036955884461228,-1.3017925411538454,0.0,True
mp-1019377,Al(PO3)3,5.8176,"['Al', 'O', 'P']",3,52,724.1258853230242,2.420639795469753,-2.841152989725276,0.0,True
mp-758571,Al11TlO17,4.585100000000001,"['Al', 'O', 'Tl']",3,58,639.0582303749583,4.018034575700057,-3.308075045114943,0.0,True
mp-2206289,Al11TlO17,5.323600000000001,"['Al', 'O', 'Tl']",3,58,619.1690056582605,4.147103685854559,-3.2150562399568954,0.0,True
mp-19521,Al2(MoO4)3,3.5374,"['Al', 'Mo', 'O']",3,68,1026.224932336994,3.4548203623124625,-2.403986258676472,0.0,True
mp-756970,Al2(SeO4)3,3.0578000000000003,"['Al', 'O', 'Se']",3,34,443.33145790174905,3.6170130663028495,-1.7608418939430153,0.0,True
mp-561437,Al2Ge(O2F)2,4.0818,"['Al', 'F', 'Ge', 'O']",4,36,377.91781409707386,4.017752415101493,-3.171815519166666,0.0,True
mp-707424,Al2H12(SeO5)3,4.7445,"['Al', 'H', 'O', 'Se']",4,64,707.0629573365102,2.550141822420906,-1.6108465986572271,0.0,True
mp-850293,Al2H16S3O20,5.6055,"['Al', 'H', 'O', 'S']",4,164,1584.370676729934,2.0386025092125664,-1.7330980639024391,0.0,True
mp-1196041,Al2H32S3O28,4.6645,"['Al', 'H', 'O', 'S']",4,130,1232.5565538738051,1.698577020594147,-1.5678861953461531,0.0,True
mp-37614,Al2NiO4,3.1956000000000007,"['Al', 'Ni', 'O']",3,28,258.8135604925488,4.533626388298227,-2.8027414935714297,0.0,True
mp-1143,Al2O3,5.8743,"['Al', 'O']",2,10,87.42001939959368,3.8734991245808144,-3.426551008000001,0.0,True
mp-21892,Al2PbO4,3.9433,"['Al', 'O', 'Pb']",3,14,198.4327527414789,5.442065392002385,-2.8937835900000146,0.0,True
mp-6280,Al2Si(O2F)2,5.706199999999999,"['Al', 'F', 'O', 'Si']",4,36,355.6066417648658,3.437624934243816,-3.529615748611111,0.0,True
mp-1195073,Al2Si2PbO8,4.261250911072367,"['Al', 'O', 'Pb', 'Si']",4,104,1479.3817143472356,3.9988957881680807,-3.1053062625961534,0.0,True
mp-706243,Al2Si3H8(NO5)2,4.576099999999999,"['Al', 'H', 'N', 'O', 'Si']",5,100,1115.236653383442,1.9909762803623916,-2.1697174975000006,0.0,True
mp-5065,Al2SiO5,5.4454,"['Al', 'O', 'Si']",3,32,292.7134847203847,3.6770839190184095,-3.3768698634375003,0.0,True
mp-2908,Al2ZnO4,3.846,"['Al', 'O', 'Zn']",3,14,131.64714277394958,4.625888669208582,-3.0210726285714293,0.0,True
mp-31408,Al4(B2O5)3,5.8127,"['Al', 'B', 'O']",3,25,243.8753435268132,2.810626711830237,-3.0834730528,0.0,True
mp-1229135,Al4B2O9,4.9982,"['Al', 'B', 'O']",3,60,612.8665976374219,2.964615349912832,-3.264206385222222,0.0,True
mp-13703,Al4CO4,3.8233,"['Al', 'C', 'O']",3,18,222.1762176121092,2.749442320464072,-2.594719617222223,0.0,True
mp-1190488,Al4CdO7,3.0642,"['Al', 'Cd', 'O']",3,24,292.24409274965086,3.776650193190042,-3.094281680416666,0.0,True
mp-1204107,Al4Fe2Si5O18,3.8627,"['Al', 'Fe', 'O', 'Si']",4,58,815.0854083513739,2.640419915874775,-3.104646853103449,0.0,True
mp-3281,Al5BO9,4.9385,"['Al', 'B', 'O']",3,30,326.8367177513697,2.943856768124401,-3.366610787277778,0.0,True
mp-5189,AlAsO4,3.8812,"['Al', 'As', 'O']",3,18,246.69440336285297,3.3501123769247187,-2.456086594583332,0.0,True
mp-730446,AlH10SO9F,5.459199999999999,"['Al', 'F', 'H', 'O', 'S']",5,176,1618.25107226895,1.905477230822228,-1.7267899050568176,0.0,True
mp-722527,AlH11SO10,5.3941,"['Al', 'H', 'O', 'S']",4,92,848.2583722436563,1.801980838702351,-1.631665221032608,0.0,True
mp-1203296,AlH12(NO5)3,4.037100000000001,"['Al', 'H', 'N', 'O']",4,62,573.8567647506806,1.858230367381488,-1.2972335396774195,0.0,True
mp-1197821,AlH14SeNO14,3.576255899099855,"['Al', 'H', 'N', 'O', 'Se']",5,62,555.8653193307566,2.1392148463478446,-1.3849602651562494,0.0,True
mp-643387,AlH2PbO2F3,4.496700000000001,"['Al', 'F', 'H', 'O', 'Pb']",5,18,206.0402960092296,5.241625855359903,-2.551014959722222,0.0,True
mp-1214960,AlH5(SeO4)2,4.4382,"['Al', 'H', 'O', 'Se']",4,32,356.5211680281986,2.961652350958456,-1.599531583496093,0.0,True
mp-1191939,AlH6IO4,4.2593,"['Al', 'H', 'I', 'O']",4,24,297.8080410844078,2.497223283147982,-1.5623556402083334,0.0,True
mp-625152,AlHO2,5.5638000000000005,"['Al', 'H', 'O']",3,16,116.84593209084947,3.410058989990581,-2.6528255821875,0.0,True
mp-1105277,AlHSO5,5.6943,"['Al', 'H', 'O', 'S']",4,16,160.6672178713814,2.8949396766362727,-2.26148272546875,0.0,True
mp-1214877,AlNi2BO5,3.621100000000001,"['Al', 'B', 'Ni', 'O']",4,36,328.2037210378175,4.759476791987507,-2.3201892974074068,0.0,True
mp-5331,AlPO4,5.6178,"['Al', 'O', 'P']",3,18,231.745176873954,2.621511594063003,-3.1271722029960305,0.0,True
mp-18733,AlTl(MoO4)2,3.8699,"['Al', 'Mo', 'O', 'Tl']",4,12,210.903081605927,4.340171862251937,-2.203208559444446,0.0,True
mp-1228177,AlTlSi3O8,4.586309931401425,"['Al', 'O', 'Si', 'Tl']",4,26,388.07384401573455,3.7964042427682383,-3.082131854102565,0.0,True
mp-1228209,AlTlSiO4,4.081057349688355,"['Al', 'O', 'Si', 'Tl']",4,42,746.4249714739096,4.317363105468216,-2.9007873485714306,0.0,True
mp-18827,AlVO4,3.0572000000000004,"['Al', 'O', 'V']",3,36,425.5563922653576,3.322682060916044,-2.7968212494444447,0.0,True
mp-28005,As2(SO4)3,4.5725,"['As', 'O', 'S']",3,68,956.0927722240838,3.043083725886048,-1.668678688529412,0.0,True
mp-1582,As2O3,3.9605,"['As', 'O']",2,20,319.14943889553336,4.117486470121782,-1.626348611000001,0.0,True
mp-505368,As2Pb3O8,3.3141000000000003,"['As', 'O', 'Pb']",3,26,399.9224570972038,7.469210977186391,-1.733542170769229,0.0,True
mp-27739,As2S2O9,4.0514,"['As', 'O', 'S']",3,52,736.9294784973648,3.226466220498553,-1.6795332463461556,0.0,True
mp-27230,As2SO6,4.417199999999999,"['As', 'O', 'S']",3,18,258.82131281310154,3.565946256256105,-1.684100125833333,0.0,True
mp-27404,As3(HO2)5,3.0666,"['As', 'H', 'O']",3,18,185.32489212062717,3.492653527811599,-1.456309445486112,0.0,True
mp-626378,As3HO6,3.5542,"['As', 'H', 'O']",3,40,572.9743521755951,3.730081293265588,-1.5759993306249995,0.0,True
mp-566301,As3Pb5ClO12,3.1835,"['As', 'Cl', 'O', 'Pb']",4,84,1440.7150377605367,6.861125980671886,-1.7248922005952378,0.0,True
mp-1214667,As3Pb5O12F,3.2964,"['As', 'F', 'O', 'Pb']",4,42,699.3746503183382,6.988838792251736,-1.8242185589285715,0.0,True
mp-1229049,AsBrOF8,3.1609076728104357,"['As', 'Br', 'F', 'O']",4,44,699.1623637267023,3.066768695480594,-1.830460816590909,0.0,True
mp-1228828,AsHPbO4,3.118291041493801,"['As', 'H', 'O', 'Pb']",4,14,203.4572089878553,5.666234985921484,-1.6462676583928564,0.0,True
mp-8140,AsPO4,4.576,"['As', 'O', 'P']",3,24,310.0147259759318,3.640006455144237,-2.1989691011904764,0.0,True
mp-27184,B10(Pb2O7)3,3.259,"['B', 'O', 'Pb']",3,37,457.701959371766,6.121501549682836,-2.4587422901801794,0.0,True
mp-558521,B2Se2O7,3.9418,"['B', 'O', 'Se']",3,44,541.0833060647883,3.5788197605861347,-1.9039577320928025,0.0,True
mp-1194590,B2Se3O10,3.738,"['B', 'O', 'Se']",3,60,819.5795833765096,3.3916362597700203,-1.654536882524306,0.0,True
mp-1200969,B3Pb3NO10,3.4029,"['B', 'N', 'O', 'Pb']",4,68,921.309525454465,5.969686717627841,-2.025612645882354,0.0,True
mp-9747,B4PbO7,4.209300000000001,"['B', 'O', 'Pb']",3,24,205.86492425940008,5.846993607062421,-2.6473397413889157,0.0,True
mp-703444,B5H12NO12,5.5022,"['B', 'H', 'N', 'O']",4,60,594.3709299731998,1.5206508915513737,-1.832182744861112,0.0,True
mp-1196660,B5H4NO8,5.7298,"['B', 'H', 'N', 'O']",4,144,1399.1535897025606,1.899748760240013,-2.171494176296297,0.0,True
mp-23623,B5Pb2BrO9,3.4053000000000004,"['B', 'Br', 'O', 'Pb']",4,68,896.5753314278659,5.1292073828373335,-2.504680097696077,0.0,True
mp-557103,B5Pb2ClO9,3.4890000000000003,"['B', 'Cl', 'O', 'Pb']",4,68,883.812980978123,4.869209225527218,-2.528180391225491,0.0,True
mp-1200630,B8H4PbO15,4.763299999999999,"['B', 'H', 'O', 'Pb']",4,112,1166.492286607022,3.061793841280563,-2.448575631101189,0.0,True
mp-1182634,B9Pb8O21F,3.4333000000000005,"['B', 'F', 'O', 'Pb']",4,78,1108.971267072064,6.318551707627813,-2.368490273141025,0.0,True
mp-3277,BAsO4,4.282,"['As', 'B', 'O']",3,6,68.7210826402776,3.617999562065702,-2.130445326111111,0.0,True
mp-1105235,BH(PbO2)2,3.0854,"['B', 'H', 'O', 'Pb']",4,16,263.1503813722347,6.186756885214777,-1.9099985425520831,0.0,True
mp-1200187,BHS3O11,5.696299999999999,"['B', 'H', 'O', 'S']",4,128,1686.4490039005825,2.23715170913213,-1.7841082242447914,0.0,True
mp-555207,BN(OF2)2,3.002,"['B', 'F', 'N', 'O']",4,32,421.15002434018334,2.0946111200880204,-2.098217240208334,0.0,True
mp-1201606,BP(PbO2)4,3.0005,"['B', 'O', 'P', 'Pb']",4,56,890.2900523506925,7.450071068247665,-2.1429316931292512,0.0,True
mp-1195775,BPH4NO4F,5.822624664282443,"['B', 'F', 'H', 'N', 'O', 'P']",6,48,457.8884635756965,2.071743859939182,-1.890210400317461,0.0,True
mp-21266,BPPbO5,4.2593000000000005,"['B', 'O', 'P', 'Pb']",4,24,295.63776122450867,5.543477259134241,-2.546615575267857,0.0,True
mp-1202733,BPb2O3F,3.1984,"['B', 'F', 'O', 'Pb']",4,42,706.5472651288334,6.9407667014382,-2.266755205357142,0.0,True
mp-561226,BTe3(OF5)3,3.7899,"['B', 'F', 'O', 'Te']",4,44,722.7349910273948,3.3387706591867343,-2.342937947916667,0.0,True
mp-1105233,Ba(AsO3)2,3.689200000000001,"['As', 'Ba', 'O']",3,18,257.6885207801976,4.938234014296352,-2.1889861894444445,0.0,True
mp-540659,Ba(BO2)2,4.522399999999999,"['B', 'Ba', 'O']",3,42,602.1936302946864,3.688629579841767,-3.096925162619045,0.0,True
mp-554626,Ba(BrO3)2,4.1924,"['Ba', 'Br', 'O']",3,18,326.0955543480764,4.003796066611828,-1.1678331411111118,0.0,True
mp-1190390,Ba(ClO4)2,5.4454,"['Ba', 'Cl', 'O']",3,22,305.6328154022602,3.653534791006075,-1.1106988154545456,0.0,True
mp-1228877,Ba(GaO2)2,3.022,"['Ba', 'Ga', 'O']",3,56,919.5109817926724,4.923163777651527,-2.61306689,0.0,True
mp-626268,Ba(H8O5)2,3.904,"['Ba', 'H', 'O']",3,54,464.79394965590575,2.239670791247294,-1.3962899307407408,0.0,True
mp-626973,Ba(HO)2,4.577,"['Ba', 'H', 'O']",3,40,499.4058184193341,4.557729097749312,-2.057213571000001,0.0,True
mp-30991,Ba(IO3)2,3.5436,"['Ba', 'I', 'O']",3,18,332.64687771828727,4.863429278837035,-1.546153766666666,0.0,True
mp-4396,Ba(NO3)2,3.6327,"['Ba', 'N', 'O']",3,36,541.9692283029106,3.2028384187449754,-1.5901765722222234,0.0,True
mp-559939,Ba(PO3)2,5.4349,"['Ba', 'O', 'P']",3,36,506.7909362072778,3.869910609589682,-2.9809590779761885,0.0,True
mp-16990,Ba10P6SO24,3.188,"['Ba', 'O', 'P', 'S']",4,41,725.8260623437671,4.518762531076696,-3.2603540257404173,0.0,True
mp-1195112,Ba11B26P2(H3O29)2,4.492699999999999,"['B', 'Ba', 'H', 'O', 'P']",5,206,2511.355452493749,3.686448058590063,-2.925588109321545,0.0,True
mp-1194732,Ba2As2O7,4.2477,"['As', 'Ba', 'O']",3,44,738.7129397987121,4.823890519339462,-2.506528066136352,0.0,True
mp-757280,Ba2As6O11,3.1679000000000004,"['As', 'Ba', 'O']",3,38,643.334684029052,4.646971831463377,-2.0628242065789486,0.0,True
mp-1196038,Ba2B11H7O22,5.6652,"['B', 'Ba', 'H', 'O']",4,84,900.808324736202,2.774731380960969,-2.5705614965376973,0.0,True
mp-771158,Ba2B2O5,3.9978,"['B', 'Ba', 'O']",3,36,577.6723070885492,4.3264391206757935,-3.141567448148148,0.0,True
mp-1198110,Ba2B5HO10,4.788715616859062,"['B', 'Ba', 'H', 'O']",4,72,872.3206707681388,3.7288312685814167,-2.930648694560185,0.0,True
mp-1194549,Ba2B6PbO12,4.233700000000001,"['B', 'Ba', 'O', 'Pb']",4,42,585.8473970034399,4.187648426486337,-2.9034744616666663,0.0,True
mp-8271,Ba2Ca(BO2)6,5.0129,"['B', 'Ba', 'Ca', 'O']",4,21,274.85182484787623,3.4533110899320687,-3.113965850714285,0.0,True
mp-549737,Ba2Ca(BO3)2,4.080500000000001,"['B', 'Ba', 'Ca', 'O']",4,11,153.75688683623764,4.669285034548355,-3.224687858030303,0.0,True
mp-758007,Ba2CaP4(H3O8)2,5.4657,"['Ba', 'Ca', 'H', 'O', 'P']",5,58,680.1765787950739,3.4211167779795244,-2.56185141986453,0.0,True
mp-1019518,Ba2CaSi4(BO7)2,4.8764,"['B', 'Ba', 'Ca', 'O', 'Si']",5,46,636.1858817605147,3.511627884249468,-3.3124076855797098,0.0,True
mp-550685,Ba2CaTeO6,3.0122,"['Ba', 'Ca', 'O', 'Te']",4,10,154.00023183896883,5.804636327066835,-2.7869202976666663,0.0,True
mp-19098,Ba2CaWO6,3.2912,"['Ba', 'Ca', 'O', 'W']",4,10,154.80353803049138,6.377787419501912,-3.032736571,0.0,True
mp-1190588,Ba2Cd(BO2)6,4.3316,"['B', 'Ba', 'Cd', 'O']",4,21,268.8436429007194,3.977258363897014,-2.89545509547619,0.0,True
mp-1199629,Ba2CdP4(H3O8)2,4.4355,"['Ba', 'Cd', 'H', 'O', 'P']",5,58,699.2849570785695,3.6711601252999335,-2.394019431416256,0.0,True
mp-510015,Ba2CoSi2O7,3.1381,"['Ba', 'Co', 'O', 'Si']",4,24,379.64983912198136,4.3892135637991885,-3.05940255,0.0,True
mp-6192,Ba2DySbO6,3.4686000000000003,"['Ba', 'Dy', 'O', 'Sb']",4,10,154.81351992845413,7.024608098469735,-3.092258773166665,0.0,True
mp-1206435,Ba2DyTaO6,3.3837,"['Ba', 'Dy', 'O', 'Ta']",4,10,155.24798343555557,7.638025736294353,-3.5795925628999994,0.0,True
mp-6231,Ba2ErSbO6,3.3844000000000003,"['Ba', 'Er', 'O', 'Sb']",4,10,152.7359625291706,7.171898439189175,-3.108728319000001,0.0,True
mp-1205803,Ba2ErTaO6,3.3934,"['Ba', 'Er', 'O', 'Ta']",4,10,153.53157512522952,7.774886680110707,-3.6005731267333325,0.0,True
mp-18845,Ba2FeWO6,3.0823,"['Ba', 'Fe', 'O', 'W']",4,20,285.0753211940118,7.110301744816236,-2.6401709015000003,0.0,True
mp-8986,Ba2GdC2(O2F)3,3.0692,"['Ba', 'C', 'F', 'Gd', 'O']",5,56,820.2549607342727,4.9308106994712695,-3.189243514642857,0.0,True
mp-753668,Ba2GdSbO6,3.4808000000000003,"['Ba', 'Gd', 'O', 'Sb']",4,10,154.01899248806973,7.004243167048096,-3.056831461000008,0.0,True
mp-1205549,Ba2GdTaO6,3.3075999999999994,"['Ba', 'Gd', 'O', 'Ta']",4,10,158.11577510551845,7.444356909304123,-3.543877060733334,0.0,True
mp-780263,Ba2GeO4,4.176399999999999,"['Ba', 'Ge', 'O']",3,84,1503.5645183923675,5.45077324316368,-2.8565758438095243,0.0,True
mp-754363,Ba2HfO4,3.438,"['Ba', 'Hf', 'O']",3,7,117.32879453913252,7.319037362796618,-3.536360435714286,0.0,True
mp-6687,Ba2HoSbO6,3.4228,"['Ba', 'Ho', 'O', 'Sb']",4,10,153.76838811163023,7.098597836374432,-3.0998822164999997,0.0,True
mp-13000,Ba2HoTaO6,3.4478000000000004,"['Ba', 'Ho', 'O', 'Ta']",4,10,154.28766470373407,7.711723011578868,-3.5903397202333323,0.0,True
mp-686674,Ba2La3Si3O12F,4.109400000000001,"['Ba', 'F', 'La', 'O', 'Si']",5,84,1298.4327789484264,5.0470627348135,-3.6749721470238086,0.0,True
mp-18111,Ba2LaC3O9F,3.8773,"['Ba', 'C', 'F', 'La', 'O']",5,32,438.6424683937533,4.638039816533047,-2.8582040146875007,0.0,True
mp-553281,Ba2LaNbO6,3.0639,"['Ba', 'La', 'Nb', 'O']",4,10,166.57630491209474,6.005728751171322,-3.3879811675000004,0.0,True
mp-551269,Ba2LaSbO6,3.8961,"['Ba', 'La', 'O', 'Sb']",4,10,161.79693986338148,6.479261399192139,-3.0319059435,0.0,True
mp-13055,Ba2LaTaO6,3.6213,"['Ba', 'La', 'O', 'Ta']",4,10,162.0157176249183,7.077143322386012,-3.5066615782333344,0.0,True
mp-6075,Ba2Li(BO2)5,4.951700000000001,"['B', 'Ba', 'Li', 'O']",4,36,436.54454776706456,3.7706860868410046,-3.0323629096759266,0.0,True
mp-1078185,Ba2LuSbO6,3.2383,"['Ba', 'Lu', 'O', 'Sb']",4,10,149.6115680607324,7.407222989363976,-3.1285257716666672,0.0,True
mp-1079705,Ba2LuTaO6,3.4089,"['Ba', 'Lu', 'O', 'Ta']",4,10,146.8893514686582,8.213597660401053,-3.6264090854,0.0,True
mp-9259,Ba2Mg(BO3)2,4.532399999999999,"['B', 'Ba', 'Mg', 'O']",4,11,138.10987776319328,5.008642822167973,-3.127045616666662,0.0,True
mp-14558,Ba2Mg(PO4)2,4.696999999999999,"['Ba', 'Mg', 'O', 'P']",4,52,764.969512062722,4.245086376711848,-3.2307163659065994,0.0,True
mp-1190545,Ba2MgGe2O7,3.628147204665216,"['Ba', 'Ge', 'Mg', 'O']",4,24,394.7239515831128,4.679977554888352,-2.7905924054166653,0.0,True
mp-9338,Ba2MgSi2O7,4.4529000000000005,"['Ba', 'Mg', 'O', 'Si']",4,24,366.4201239669737,4.233832097444648,-3.363647231666667,0.0,True
mp-18986,Ba2MgWO6,3.2231,"['Ba', 'Mg', 'O', 'W']",4,10,139.68398093544786,6.880619869040942,-2.9532242795,0.0,True
mp-18990,Ba2Mn(BO2)6,3.9824,"['B', 'Ba', 'Mn', 'O']",4,84,1040.15439197473,3.7449230523358894,-2.9541109004967154,0.0,True
mp-19487,Ba2Mn(PO4)2,3.9220000000000006,"['Ba', 'Mn', 'O', 'P']",4,52,811.5891650021734,4.251943317082192,-3.064983261324365,0.0,True
mp-20620,Ba2NbInO6,3.3501,"['Ba', 'In', 'Nb', 'O']",4,10,149.25446954671247,6.434741429082812,-2.959584960666666,0.0,True
mp-561462,Ba2Nd2Si4O13,5.046200000000001,"['Ba', 'Nd', 'O', 'Si']",4,42,594.132269364722,4.938429302866654,-3.5126079469047617,0.0,True
mp-6122,Ba2NdSbO6,3.7031,"['Ba', 'Nd', 'O', 'Sb']",4,10,162.7565447672368,6.495506432835607,-3.013435319750001,0.0,True
mp-1205600,Ba2NdTaO6,3.4981,"['Ba', 'Nd', 'O', 'Ta']",4,10,162.39709203349992,7.115090277785741,-3.4936144624833325,0.0,True
mp-504723,Ba2NiWO6,3.3429,"['Ba', 'Ni', 'O', 'W']",4,20,276.35513095564085,7.368892720086794,-2.563658962499999,0.0,True
mp-1019530,Ba2P2O7,5.1483,"['Ba', 'O', 'P']",3,44,752.8907278969878,3.957617514008668,-3.223110419025973,0.0,True
mp-6692,Ba2PrSbO6,3.712,"['Ba', 'O', 'Pr', 'Sb']",4,10,164.4830522193651,6.393663972593862,-2.994456447166667,0.0,True
mp-1205686,Ba2PrTaO6,3.4861000000000004,"['Ba', 'O', 'Pr', 'Ta']",4,10,161.4468399326444,7.122673647273185,-3.473158075900001,0.0,True
mp-1228342,Ba2ScO3F,3.5461,"['Ba', 'F', 'O', 'Sc']",4,7,117.89142942402336,5.445478317847888,-3.588207176428573,0.0,True
mp-1205823,Ba2ScTaO6,3.0173000000000005,"['Ba', 'O', 'Sc', 'Ta']",4,10,143.7159044723548,6.892776037425662,-3.593178310233333,0.0,True
mp-29222,Ba2Si3O8,4.5119,"['Ba', 'O', 'Si']",3,52,825.6137464350783,3.9172116075875856,-3.377933791730798,0.0,True
mp-17612,Ba2SiO4,4.6319,"['Ba', 'O', 'Si']",3,28,453.0557889521879,5.376656009458368,-3.3619768532142857,0.0,True
mp-6037,Ba2SmSbO6,3.6828,"['Ba', 'O', 'Sb', 'Sm']",4,10,160.31118276746218,6.65795949552417,-3.0407220915,0.0,True
mp-1214622,Ba2SmTaO6,3.3635149345965862,"['Ba', 'O', 'Sm', 'Ta']",4,10,161.64624337344023,7.210988170006595,-3.518325293233334,0.0,True
mp-13356,Ba2SrTeO6,3.1401000000000003,"['Ba', 'O', 'Sr', 'Te']",4,10,164.74931149326784,5.90509714247602,-2.730477315666667,0.0,True
mp-18764,Ba2SrWO6,3.2504,"['Ba', 'O', 'Sr', 'W']",4,10,165.22527617156834,6.453306845453025,-2.968149434,0.0,True
mp-1079630,Ba2TaInO6,3.9459,"['Ba', 'In', 'O', 'Ta']",4,10,148.17176644031986,7.468428673623505,-3.075058790399999,0.0,True
mp-6265,Ba2TbSbO6,3.5148,"['Ba', 'O', 'Sb', 'Tb']",4,10,155.9715578384631,6.934395442658015,-3.084002428666667,0.0,True
mp-1207064,Ba2TbTaO6,3.5127999999999995,"['Ba', 'O', 'Ta', 'Tb']",4,10,155.7779548924324,7.573935912951022,-3.5712365213999995,0.0,True
mp-560742,Ba2TeP2O9,3.4372,"['Ba', 'O', 'P', 'Te']",4,28,448.937436914732,4.499216783560566,-2.854489903282313,0.0,True
mp-6289,Ba2Ti(GeO4)2,3.7129,"['Ba', 'Ge', 'O', 'Ti']",4,26,429.6158792139335,4.605709030235431,-2.894512731410256,0.0,True
mp-6081,Ba2Ti(SiO4)2,3.7274,"['Ba', 'O', 'Si', 'Ti']",4,26,384.01204802386815,4.382018197873762,-3.44362643102564,0.0,True
mp-3397,Ba2TiO4,4.1439,"['Ba', 'O', 'Ti']",3,28,504.5528493342891,5.0883013504816885,-3.399091214047619,0.0,True
mp-1206029,Ba2TmTaO6,3.4065000000000003,"['Ba', 'O', 'Ta', 'Tm']",4,10,151.8209801441106,7.880810339489975,-3.6126705557333336,0.0,True
mp-19474,Ba2V2O7,3.4599,"['Ba', 'O', 'V']",3,44,729.2141341343354,4.449874257096813,-2.922540033863608,0.0,True
mp-559941,Ba2V3BiO11,3.0455,"['Ba', 'Bi', 'O', 'V']",4,68,1107.977481446702,4.8705278162237065,-2.653477465588236,0.0,True
mp-28403,Ba2WO5,3.1569000000000003,"['Ba', 'O', 'W']",3,32,497.1860010873952,7.193970399859427,-2.869734222187485,0.0,True
mp-8985,Ba2YC2(O2F)3,5.263999999999999,"['Ba', 'C', 'F', 'O', 'Y']",5,56,810.4807952882768,4.430172106147569,-3.1950741396428577,0.0,True
mp-6492,Ba2YSbO6,3.5454,"['Ba', 'O', 'Sb', 'Y']",4,10,155.1813923192647,6.220451628228049,-3.075945864,0.0,True
mp-12385,Ba2YTaO6,3.4639,"['Ba', 'O', 'Ta', 'Y']",4,10,155.50834731730168,6.839389331940263,-3.5674410347333327,0.0,True
mp-559138,Ba2Zn(BO3)2,3.3328,"['B', 'Ba', 'O', 'Zn']",4,88,1389.876294418562,4.374477635858595,-2.90650200871212,0.0,True
mp-1195039,Ba2Zn2TeP2O11,4.1025,"['Ba', 'O', 'P', 'Te', 'Zn']",5,72,1119.002556490042,4.57656535463202,-2.6394569026918,0.0,True
mp-1190949,Ba2ZnGe2O7,3.1063,"['Ba', 'Ge', 'O', 'Zn']",4,24,406.2040698126343,4.883773888525123,-2.580144032916666,0.0,True
mp-558629,Ba2ZnSi2O7,4.0027,"['Ba', 'O', 'Si', 'Zn']",4,24,371.1014187351236,4.548273847973417,-3.146197095,0.0,True
mp-548615,Ba2ZnWO6,3.3679,"['Ba', 'O', 'W', 'Zn']",4,10,140.91578560646107,7.304839327048888,-2.6546294450000003,0.0,True
mp-1228067,Ba2ZrSnO6,3.6894,"['Ba', 'O', 'Sn', 'Zr']",4,10,150.10594994636702,6.422683973219878,-3.1393160845,0.0,True
mp-9783,Ba3(AsO4)2,3.9060000000000006,"['As', 'Ba', 'O']",3,13,208.25679381677483,5.500286656706833,-2.69028426346154,0.0,True
mp-755417,Ba3(BO3)2,4.1693,"['B', 'Ba', 'O']",3,22,357.9851827525441,4.913167007722141,-3.1508790084848486,0.0,True
mp-3857,Ba3(PO4)2,5.1422,"['Ba', 'O', 'P']",3,13,193.22076692067333,5.172931854794729,-3.294371403021977,0.0,True
mp-1201953,Ba3Al2B10H4O23,4.9577,"['Al', 'B', 'Ba', 'H', 'O']",5,84,1040.9576341531592,3.018354500202821,-2.846680474087302,0.0,True
mp-707218,Ba3AlHO4,4.0379000000000005,"['Al', 'Ba', 'H', 'O']",4,36,645.2608230436285,5.187723501057878,-2.7406089543055554,0.0,True
mp-1199009,Ba3B6H2O13,5.0891,"['B', 'Ba', 'H', 'O']",4,48,574.75583084356,3.9688146994601343,-2.8824488884375,0.0,True
mp-1195844,Ba3B6O11F2,5.252710526336427,"['B', 'Ba', 'F', 'O']",4,44,536.2642255072341,4.2783468183270585,-3.207352254545454,0.0,True
mp-555231,Ba3Bi2(PO4)4,3.7865,"['Ba', 'Bi', 'O', 'P']",4,50,770.1257141988362,5.217240185358302,-2.890821084742856,0.0,True
mp-554817,Ba3CaSb2O9,3.1711000000000005,"['Ba', 'Ca', 'O', 'Sb']",4,30,484.2571116180124,5.757870067723569,-2.7622951013333346,0.0,True
mp-1228141,Ba3CaTa2O9,3.2034966092898283,"['Ba', 'Ca', 'O', 'Ta']",4,15,227.6698349611612,6.986926215316462,-3.4530179606444458,0.0,True
mp-1214848,Ba3Dy(BO3)3,3.8533,"['B', 'Ba', 'Dy', 'O']",4,96,1409.2035576624703,5.309011862940579,-3.300701822656249,0.0,True
mp-1214885,Ba3Er(BO3)3,3.8599,"['B', 'Ba', 'Er', 'O']",4,96,1401.0916921883484,5.373590807424441,-3.3089985046354164,0.0,True
mp-1228512,Ba3Fe4P8PbO28,4.0495,"['Ba', 'Fe', 'O', 'P', 'Pb']",5,44,620.7508656266117,4.115119834732669,-2.7134836599350645,0.0,True
mp-1229265,Ba3Ga2B10H4O23,4.7953,"['B', 'Ba', 'Ga', 'H', 'O']",5,84,1048.1929371383392,3.2683626308238254,-2.707842681230158,0.0,True
